Id_Equipo_Area;Nombre_Equipo_Area;Id_Equipo_Viceprecidencia 
CLS51000678;CONSOLIDACION CONTABLE Y NIIF ;CLS80000005
CLS53000078;SUPERVISION TURNO II CTC ;CLS80000009
CLS53000054;SOCIO GESTION HUMANA ;CLS80000009
CLS52000012;GESTION HUMANA Y ADMINISTRATIVA ;CLS80000009
CLS53000070;MANTENIMIENTO CIVIL DMA ;CLS80000009
CLS52000007;ABASTECIMIENTO ESTRATEGICO ;CLS80000009
CLS53000045;GESTION DE RECURSOS ;CLS80000009
CLS52000029;GERENCIA CTC ;CLS80000009
CLS53000044;GESTION CONTABLE CA ;CLS80000005
CLS52000033;MANTENIMIENTO CTC ;CLS80000009
CLS53000055;COMPENSACION Y PRODUCTIVIDAD ;CLS80000009
CLS53000077;SUPERVISION TURNO I CTC ;CLS80000009
CLS53000198;SUPERVISION MANTENIMIENTO ELECTRICO ;CLS80000009
CLS53000553;SUPERVISION DE TURNO ;CLS80000009
CLS53000337;SUPERVISION DE TURNO ;CLS80000009
CLS53000338;SUPERVISION DE TURNO ;CLS80000009
CLS52000044;SOPORTE DE PROYECTOS Y MERCADOS ELECTRICOS ;CLS80000009
CLS53000080;SUPERVISION DE TURNO III CTC ;CLS80000009
CLS53000493;MANTENIMIENTO ELECTRICO COMPLEJO TERMICO COLON ;CLS80000009
CLS53000046;OPERACIONES CATIVA ;CLS80000009
CLS53000491;INSTRUMENTACION Y CONTROL COMPLEJO TERMICO COLON ;CLS80000009
CLS53000076;OPERACIONES CTC ;CLS80000009
CLS53000047;SUPERVISION TURNO I CATIVA ;CLS80000009
CLS51000817;CENTRAL HIDRAULICA SALVAJINA ;CLS80000006
CLS53000071;GESTION DE RECURSOS DMA ;CLS80000009
CLS53000206;GESTION COMBUSTIBLES ZFC ;CLS80000006
CLS51000332;CENTRAL MERIELETRICA ;CLS80000006
CLS53000053;TECNOLOGIA CA ;CLS80000007
CLS53000473;INVESTIGACION Y DESARROLLO TECNOLOGIA ;CLS80000007
CLS51000484;PLANEACION FINANCIERA ;CLS80000005
CLS51000487;GESTION DE COMBUSTIBLE ;CLS80000006
CLS53000355;ALMACENAMIENTO Y MICRORREDES ;CLS80000021
CLS53000373;COMERCIO EXTERIOR ;CLS80000005
CLS51000526;OPERACION TALENTO HUMANO ;CLS80000007
CLS53000216;LINEAS AT ;CLS80000008
CLS53000399;PROTECCION Y TELECONTROL ZONA ;CLS80000008
CLS53000377;MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA ;CLS80000006
CLS53000379;MANTENIMIENTO MECANICO ALTO Y BAJO ANCHICAYA ;CLS80000006
CLS53000191;INFRAESTRUCTURA CIVIL Y GESTION DE PRESAS ;CLS80000006
CLS53000005;PLANEACION ABASTECIMIENTO ;CLS80000005
CLS53000380;MANTENIMIENTO MECANICO ALTO Y BAJO ANCHICAYA ;CLS80000006
CLS53000213;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA ;CLS80000009
CLS53000068;SUPERVISION DE TURNO IV ;CLS80000009
CLS53000017;PROYECTOS ESPECIALES GENERACION CA ;CLS80000006
CLS53000406;ALMACEN PANAMA ;CLS80000005
CLS53000063;PLANEAMIENTO DMA ;CLS80000009
CLS53000199;PLANEACION DE MANTENIMIENTO ;CLS80000009
CLS53000049;SUPERVISION TURNO III CATIVA ;CLS80000009
CLS53000336;MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO ;CLS80000009
CLS53000413;TECNICO PROYECTOS ;CLS80000009
CLS52000022;AMBIENTE ;CLS80000009
CLS53000409;COMPLEJO TERMICO COLON ;CLS80000009
CLS53000315;COMUNICACIONES SOSTENIBILIDAD Y GESTION SOCIAL ;CLS80000009
CLS53000382;MANTENIMIENTO ELECTRICO PRADO Y CUCUANA ;CLS80000006
CLS53000511;PMO TECNOLOGIA ;CLS80000007
